Black Sabbath         Paranoid
Led Zeppelin          Immigrant Song
Deep Purple           Smoke on the Water
Judas Priest          Hell Bent for Leather
UFO                   Rock Bottom
AC/DC                 Highway to Hell
Motorhead             Overkill
Blue Öyster Cult      (Don't Fear) The Reaper
Rainbow               Stargazer
Scorpions             In Trance
Thin Lizzy            The Boys Are Back in Town
KISS                  Detroit Rock City
Ted Nugent            Cat Scratch Fever
Nazareth              Hair of the Dog
Van Halen             Runnin' with the Devil
Iron Maiden           The Number of the Beast
Metallica             Master of Puppets
Slayer                Raining Blood
Megadeth              Peace Sells
Anthrax               Madhouse
Dio                   Holy Diver
Ozzy Osbourne         Crazy Train
Motley Crue           Shout at the Devil
Twisted Sister        We're Not Gonna Take It
Pantera               Cowboys from Hell
Queensrÿche           Eyes of a Stranger
Venom                 Black Metal
Mercyful Fate         Evil
Manowar               Hail and Kill
Celtic Frost          Into the Crypts of Rays
Nirvana               Heart-Shaped Box
Tool                  Sober
Pantera               Walk
Sepultura             Roots Bloody Roots
Korn                  Blind
Marilyn Manson        The Beautiful People
Deftones              My Own Summer (Shove It)
Nine Inch Nails       March of the Pigs
Slipknot              Wait and Bleed
Soundgarden           Black Hole Sun
System of a Down      Sugar
Rage Against the Machine  Killing in the Name
Alice in Chains       Would?
Machine Head          Davidian
Type O Negative       Black No. 1
My Chemical Romance   I'm Not Okay (I Promise)
Fall Out Boy          Sugar, We're Goin Down
The Used              The Taste of Ink
Slipknot              Duality
Avenged Sevenfold     Bat Country
Killswitch Engage     My Curse
Bullet for My Valentine Tears Don't Fall
System of a Down      Chop Suey!
Linkin Park           In the End
Lamb of God           Laid to Rest
Mastodon              Blood and Thunder
Paramore              Misery Business
Underoath             Writing on the Walls
Bring Me the Horizon  Pray for Plagues
Trivium               Pull Harder on the Strings of Your Martyr
Bring Me the Horizon  Can You Feel My Heart
Architects            Doomsday
Ghost                 Square Hammer
Motionless in White   Voices
Parkway Drive         Vice Grip
Gojira                Stranded
Deafheaven            Dream House
Slipknot              Unsainted
Behemoth              Blow Your Trumpets Gabriel
Fever 333             Burn It
Tool                  Fear Inoculum
Code Orange           Forever
BMTH                  Throne
While She Sleeps      Silence Speaks
Power Trip            Executioner’s Tax
Spiritbox             Holy Roller
Lorna Shore           To the Hellfire
Turnstile             BLACKOUT
Bring Me the Horizon  Teardrops
Architects            Animals
Loathe                Two-Way Mirror
Code Orange           Sulfur Surrounding
Ghost                 Call Me Little Sunshine
Sleep Token           The Summoning
Bad Omens             Just Pretend
Gojira                Another World
Wage War              Circle the Drain
Poppy                 BLOODMONEY
Knocked Loose         Deep in the Willow
Vended                Burn My Misery
